job_title,rating,company_name,location,size,founded,type_of_ownership,industry,sector,revenue,seniority,salary_min,salary_max,salary_avg,description_len,age
data scientist,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),senior,77,116,96.5,1647,169
data scientist,4.1,Navy Federal Credit Union,FL,10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,na,77,116,96.5,550,89
data scientist,3.3,SPECTRUM,CO,10000+ Employees,2016,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),na,77,116,96.5,4678,6
data scientist,3.6,Target,MN,10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),senior,77,116,96.5,1138,60
data scientist,2.9,"GTT, LLC",CA,Unknown,-1,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,na,77,116,96.5,5422,-1
data scientist,-1.0,Specific Diagnostics a bioMerieux Company,CA,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,77,116,96.5,1024,-1
data scientist,5.0,The Josef Group Inc.,VA,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,na,77,116,96.5,466,-1
data scientist,4.2,CyberCoders,NY,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),na,77,116,96.5,916,23
data analyst,4.1,Censeo Consulting Group,Remote,51 to 200 Employees,2003,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),junior,77,116,96.5,838,19
machine learning engineer,-1.0,Roc Search,TX,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,77,116,96.5,434,-1
data scientist,4.0,Harnham,NY,51 to 200 Employees,2006,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),na,77,116,96.5,417,16
data scientist,5.0,Engtal,Remote,1 to 50 Employees,2017,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$5 to $25 million (USD),na,77,116,96.5,1056,5
na,4.2,CyberCoders,CA,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),na,77,116,96.5,909,23
data scientist,3.9,Apex Systems,OH,1001 to 5000 Employees,1995,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),na,77,116,96.5,1970,27
machine learning engineer,4.0,Harnham,NY,51 to 200 Employees,2006,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),na,77,116,96.5,430,16
na,4.4,Redbock,Remote,51 to 200 Employees,2010,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,senior,77,116,96.5,852,12
data scientist,4.8,"Ursus, Inc.",NY,51 to 200 Employees,2015,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$25 to $100 million (USD),na,77,116,96.5,635,7
na,3.4,Topaz Labs,TX,1 to 50 Employees,2008,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,na,135,175,155.0,731,14
na,4.2,Capital One,NY,10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),na,135,175,155.0,2005,28
machine learning engineer,4.1,"Garmin International, Inc.",AZ,10000+ Employees,1989,Company - Public,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD),senior,135,175,155.0,800,33
data scientist,4.4,Indeed,TX,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD),na,135,175,155.0,677,18
data scientist,3.9,Aon,GA,10000+ Employees,1892,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),senior,135,175,155.0,4997,130
data scientist,3.7,Citizens,MA,10000+ Employees,1828,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD),senior,135,175,155.0,2196,194
data scientist,4.5,Continental Finance Company,DE,51 to 200 Employees,2005,Company - Private,Banking & Lending,Financial Services,$5 to $25 million (USD),na,135,175,155.0,1008,17
data scientist,4.1,Navy Federal Credit Union,FL,10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,na,135,175,155.0,550,89
data scientist,3.5,Amentum,DC,10000+ Employees,-1,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,na,135,175,155.0,1092,-1
machine learning engineer,4.0,General Motors,Remote,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),na,135,175,155.0,5028,114
data scientist,3.8,UMass Memorial Health,MA,10000+ Employees,1997,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),senior,135,175,155.0,609,25
data engineer,-1.0,Auspex LLC,VA,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,135,175,155.0,1319,-1
data scientist,3.8,BOEING,WA,10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),na,135,175,155.0,4773,106
data scientist,-1.0,Tech Intellectuals,NY,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,na,135,175,155.0,458,-1
data scientist,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),senior,135,175,155.0,1850,169
na,-1.0,RobustPhysics,CA,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,135,175,155.0,1716,-1
data scientist,3.7,General Dynamics,VA,10000+ Employees,1952,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),senior,135,175,155.0,1458,70
data engineer,4.2,Peterson Technology Partners,IL,201 to 500 Employees,1997,Contract,Information Technology Support Services,Information Technology,$25 to $100 million (USD),na,135,175,155.0,742,25
data scientist,4.3,Billtrust US Careers,Remote,501 to 1000 Employees,2001,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,senior,135,175,155.0,820,21
data scientist,3.6,Trinity Solar Careers,NJ,1001 to 5000 Employees,1994,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD),na,135,175,155.0,636,28
data scientist,3.2,Lidl US,VA,5001 to 10000 Employees,1973,Company - Private,Grocery Stores,Retail & Wholesale,Unknown / Non-Applicable,junior,135,175,155.0,98,49
data scientist,3.8,Pacific Life,CA,1001 to 5000 Employees,1868,Subsidiary or Business Segment,Insurance Carriers,Insurance,$5 to $10 billion (USD),senior,135,175,155.0,5869,154
na,4.2,Peterson Technology Partners,IL,201 to 500 Employees,1997,Contract,Information Technology Support Services,Information Technology,$25 to $100 million (USD),na,135,175,155.0,898,25
data scientist,4.8,"Point Digital Finance, Inc.",CA,201 to 500 Employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,na,135,175,155.0,565,7
data scientist,-1.0,EpochGeo,DC,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,135,175,155.0,977,-1
data scientist,3.3,SPECTRUM,CO,10000+ Employees,2016,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),senior,135,175,155.0,1920,6
data scientist,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),senior,135,175,155.0,1647,169
data scientist,4.1,Navy Federal Credit Union,FL,10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,na,135,175,155.0,550,89
data engineer,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),senior,135,175,155.0,1606,169
data scientist,3.6,WM,TX,10000+ Employees,1971,Company - Public,Building & Personnel Services,Management & Consulting,$10+ billion (USD),senior,135,175,155.0,772,51
na,4.2,Capital One,IL,10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),na,113,177,145.0,2005,28
na,3.4,Topaz Labs,TX,1 to 50 Employees,2008,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,na,113,177,145.0,731,14
machine learning engineer,4.1,"Garmin International, Inc.",AZ,10000+ Employees,1989,Company - Public,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD),senior,113,177,145.0,800,33
machine learning engineer,-1.0,"EDDA Technology, Inc.",NJ,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,113,177,145.0,474,-1
data scientist,3.9,Aon,GA,10000+ Employees,1892,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),senior,113,177,145.0,4997,130
data scientist,3.7,Citizens,MA,10000+ Employees,1828,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD),senior,113,177,145.0,2196,194
machine learning engineer,4.0,General Motors,Remote,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),na,113,177,145.0,5028,114
data scientist,3.8,BOEING,WA,10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),na,113,177,145.0,4773,106
data scientist,3.8,UMass Memorial Health,MA,10000+ Employees,1997,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),senior,113,177,145.0,609,25
data scientist,4.1,Navy Federal Credit Union,FL,10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,na,113,177,145.0,550,89
data scientist,-1.0,Tech Intellectuals,NY,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,na,113,177,145.0,458,-1
data scientist,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),senior,113,177,145.0,1850,169
data scientist,4.3,Billtrust US Careers,Remote,501 to 1000 Employees,2001,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,senior,113,177,145.0,820,21
data scientist,3.2,Lidl US,VA,5001 to 10000 Employees,1973,Company - Private,Grocery Stores,Retail & Wholesale,Unknown / Non-Applicable,junior,113,177,145.0,98,49
data scientist,3.8,Pacific Life,CA,1001 to 5000 Employees,1868,Subsidiary or Business Segment,Insurance Carriers,Insurance,$5 to $10 billion (USD),senior,113,177,145.0,5869,154
data scientist,3.6,Trinity Solar Careers,NJ,1001 to 5000 Employees,1994,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD),na,113,177,145.0,636,28
data scientist,3.3,SPECTRUM,CO,10000+ Employees,2016,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),senior,113,177,145.0,1920,6
data engineer,4.2,Peterson Technology Partners,IL,201 to 500 Employees,1997,Contract,Information Technology Support Services,Information Technology,$25 to $100 million (USD),na,113,177,145.0,742,25
data scientist,3.7,General Dynamics,VA,10000+ Employees,1952,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),senior,113,177,145.0,1458,70
